,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
228,PWR,128.5800018311,126.5999984741,129.0700073242,124.6500015259,1411400,1.1123573044,1.1129203856,0.94
229,FLR,28.9099998474,27.9500007629,29.3400001526,27.7500000000,1700100,1.1164493045,1.1170144571,0.94
230,CTR,31.9099998474,30.8999996185,31.9099998474,30.7500000000,64900,1.1087364316,1.1092976799,0.94
231,BP,32.5000000000,32.4599990845,32.6599998474,32.1599998474,12174600,1.1078885775,1.1084493966,0.94
232,ASR,210.2100067139,206.7200012207,210.9700012207,206.4700012207,107700,1.1038374860,1.1043962544,0.94
233,BCC,78.8499984741,77.1999969482,80.6600036621,76.2399978638,473600,1.1106622696,1.1112244928,0.94
234,BKR,35.5000000000,35.2299995422,36.1599998474,34.7900009155,9472000,1.1136573586,1.1136573586,0.94
235,GCP,31.1599998474,31.2999992371,31.3099994659,31.0300006866,651800,1.0986658487,1.0992219992,0.93
236,ET,11.9399995804,11.6400003433,11.9399995804,11.5500001907,19789200,1.0993245269,1.0998810108,0.93
237,LAUR,12.1700000763,12.0000000000,12.2200002670,12.0000000000,648300,1.1390083216,1.1026855567,0.93
238,KMF,8.5699996948,8.5200004578,8.5799999237,8.3999996185,107600,1.0961487775,1.0967036539,0.93
239,NTCT,34.4500007629,34.9700012207,35.1699981689,34.3800010681,331300,1.1324224726,1.0963097292,0.93
240,TVTY,32.1800003052,32.2799987793,32.2999992371,32.1599998474,428800,1.1334480497,1.0973026009,0.93
241,HRMY,45.6199989319,45.6100006104,46.5999984741,44.6599998474,453300,1.1370818268,1.1008204974,0.93
242,NOC,459.3500061035,463.8200073242,465.8399963379,453.0000000000,964400,1.0954207673,1.0954207673,0.93
243,CAPL,21.7800006866,21.5699996948,21.8500003815,21.0400009155,56700,1.0927197382,1.0932728788,0.93
244,TYG,34.6199989319,34.1800003052,34.6199989319,33.7000007629,56200,1.0983961162,1.0989521302,0.93
245,HT,11.6400003433,11.6999998093,11.9300003052,11.5399999619,502800,1.0991134276,1.0996698047,0.93
246,LBRT,17.0100002289,16.8700008392,17.3500003815,16.1800003052,3212100,1.0998387370,1.1003954812,0.93
247,CNR,24.4200000763,24.4500007629,24.4599990845,24.3799991608,991700,1.0961629745,1.0967178580,0.93
248,GPRK,17.1200008392,16.7900009155,17.1599998474,16.1399993896,217800,1.0925479908,1.0931010445,0.93
249,EPD,28.1499996185,27.6200008392,28.1499996185,27.3400001526,5404000,1.0974101204,1.0979656353,0.93
250,NWPX,33.5299987793,33.8100013733,33.9799995422,32.8199996948,40700,1.1247763512,1.0889074412,0.92
251,SJIV,68.7799987793,69.3349990845,69.3349990845,68.7799987793,3100,1.0855959800,1.0861455145,0.92
252,FPL,6.6399998665,6.5500001907,6.6399998665,6.4400000572,139300,1.0906464501,1.0911985412,0.92
253,ENB,45.9199981689,45.5499992371,45.9199981689,45.2000007629,3133200,1.0848284350,1.0853775809,0.92
254,MPLX,34.0099983215,33.6300010681,34.0099983215,33.0099983215,1750000,1.0872051039,1.0877554530,0.92
255,WTTR,8.7399997711,8.5000000000,8.7399997711,8.1800003052,480700,1.0872111087,1.0877614608,0.92
256,GER,13.2399997711,13.0699996948,13.2600002289,12.9010000229,63100,1.0872889241,1.0878393155,0.92
257,GEL,12.5500001907,12.3100004196,12.6899995804,12.1499996185,241000,1.0848967039,1.0854458844,0.92
258,BTI,43.0200004578,43.3699989319,43.5400009155,42.6699981689,2535100,1.0839187269,1.0844674124,0.92
259,NOV,20.1800003052,20.0000000000,20.4300003052,19.7000007629,4072400,1.0855204361,1.0860699324,0.92
260,AVT,46.3400001526,46.3499984741,47.1699981689,45.9900016785,796500,1.1215953247,1.0858278570,0.92
261,KYN,9.5600004196,9.3900003433,9.5600004196,9.2500000000,493300,1.0884313661,1.0889823359,0.92
262,UFCS,31.7299995422,31.3700008392,31.8099994659,31.1599998474,66400,1.1243928489,1.0885361687,0.92
263,FAAR,35.5400009155,35.3300018311,35.5400009155,35.2599983215,121500,1.1213143080,1.0855558019,0.92
264,RFP,15.4899997711,15.0600004196,15.6199998856,14.7899999619,1098100,1.0915364815,1.0920890231,0.92
265,GLP,27.9899997711,27.4400005341,28.0599994659,27.1399993896,91000,1.0796283041,1.0801748177,0.91
266,SR,75.4700012207,76.9599990845,77.5400009155,75.3000030518,296400,1.0819039268,1.0824515923,0.91
267,MANT,94.7200012207,94.5800018311,95.0000000000,94.5199966431,457500,1.1172981419,1.0816677106,0.91
268,STRRP,9.7200002670,9.9300003052,9.9300003052,9.7200002670,400,1.1135800657,1.0780682032,0.91
269,CDK,54.6300010681,54.5400009155,54.6650009155,54.5149993896,1407600,1.1198798267,1.0841670659,0.91
270,CBT,73.0899963379,72.8099975586,74.6399993896,71.6999969482,627300,1.0796617041,1.0802082346,0.91
271,ORA,82.2900009155,80.2500000000,82.5000000000,80.2200012207,307100,1.0738382115,1.0743817941,0.90
272,NSR,7.8899998665,8.1999998093,8.2200002670,7.6599998474,25900,1.0697646726,1.0703061932,0.90
273,SELF,6.2199997902,6.2100000381,6.3699998856,6.0199999809,28800,1.1091555543,1.0737847887,0.90
274,AM,10.8800001144,10.7500000000,10.8900003433,10.5950002670,2108300,1.0715854252,1.0721278675,0.90
